Well ID,Eastings_m,Northings_m,Elevation,z_on_terrain,maxdepth
NWG 55-29,635642.0,4842835.0,0.0,1772.5196749827453,3068.0
N-1,641470.9243,4833382.317,1955.0,1784.37579911581,1387.0
N-2,642787.733,4841065.515,1895.0,1947.3945431556424,1337.0
N-3,642885.8158,4840769.375,1722.0,1959.3206899554677,1220.0
N-4,650090.2562,4841465.564,1786.0,1895.6641241572943,615.0
N-5,636150.5357,4837734.864,1947.0,1716.2932817098322,965.0
TG17N,634774.0184,4845959.454,0.0,1657.6597795942484,225.0
TG19N,633975.7046,4843492.788,0.0,1674.4530147303187,215.0
TG32S,634752.8279,4840324.25,0.0,1691.2771862987863,225.0
TG5S,635641.3309,4838867.96,0.0,1740.3740265337053,210.0
TG16S,637948.6808,4835960.688,0.0,1727.8166443803038,210.0
TG19S,634526.5722,4835005.532,0.0,1567.9996290249699,217.0
,626508.2726,4829268.289,0.0,1393.7439000125305,168.0
86-21,637710.0693,4843967.992,0.0,1902.2754994447557,2804.0
Well RDO-1,642987.2894,4840780.633,0.0,1970.5231884972407,424.0
72-03,639089.4129,4840289.66,0.0,1985.0695007563006,1068.0
CE-NB-3,646097.8234,4836708.056,0.0,1952.6215429009258,1325.0
Santa Fe NC-01,636852.3661,4842920.631,0.0,1785.066508008228,1219.2
Santa Fe 72-03,639084.8893,4840275.437,0.0,1781.1061325357757,1204.0
GEO N-3,641039.3364,4854541.322,0.0,1751.37756614269,1220.0
CE-NB-4,637236.6069,4848744.731,0.0,1747.4385018469836,1232.0
GEO N-4,649994.3207,4841518.364,0.0,1911.7519120057134,703.0
GEO N-5,636207.6746,4837799.757,0.0,1726.4969711473575,988.0
88-21 TCH,637706.8447,4843671.367,0.0,1903.0794523449804,1486.0
23-22,637925.8487,4844750.011,0.0,1937.1259136453014,2927.0
76-15 TCH,638996.0824,4846000.025,0.0,2064.2212107372984,1634.0
GATLEY,625096.3875,4855323.985,0.0,1272.8192410686174,20.0
USFS 1,641514.7929,4841494.182,0.0,1934.2282221684318,15.0
U.S. DEPARTMENT OF AGRICULTURE,645457.673,4842732.079,0.0,1955.288816087042,12.0
USGS 2,642787.733,4841065.515,0.0,1966.1693574742399,931.0
FRANTZ,625131.9881,4840589.184,0.0,1298.5273842059653,27.0
fake_1,599600.0,4799000.0,0.0,1435.3862366456062,10000.0
fake_2,599600.0,4884000.0,0.0,2646.9602395615448,10000.0
fake_3,660100.0,4799000.0,0.0,1313.6206244105906,10000.0
fake_4,660100.0,4884000.0,0.0,1023.7282037512471,10000.0
88-21,637648.88,4843583.45,1910.814436,1901.7001564311245,1486.222872
76-15,639160.0,4845665.0,2069.92197,2085.544511005514,1633.747866
46-16,636794.5229,4845698.441,1882.772495,1434.5956169085448,3535.418191
