WellName_,APINo,OtherID,OtherName,Operator,SpudDate,EndedDrill,WellType,Status,StatusDate,Field,State,PLSS_Merid,TWP,RGE,Section,SectionPar,LatDegree,LongDegree,SRS,LocationUn,DrillerTot_ft,DrillerTot_m,DepthRefer,Shape_1,TrueVertic_ft,TrueVertic_m,ElevationK_ft,ElevationK_m,ElevationG_ft,ElevationG_m,BitDiamete,BitDiame_1,DiameterUn,MaximumRecTemp_F,MaximumRecTemp_C,Measuremen,DepthOfMea_ft,DepthOfMea_m,Measurem_1,CasingLogg,DrillingFl,Salinity,Density,pH,Viscosity,FluidLoss,Well_Label,County,QUAD100K,QUAD24K
2,,,GW-057,Union Oil Company of California,6/11/1979,6/23/1979,"GeothermalEnergy,Temperature",Abandoned plugged,,Spring Butte,OR,Willamette,023S,011E,5,,43.605647,-121.432433,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",550,168,GL,vertical,,,,,4580,1396,10.75,1.25,in,339,171,Temperature Log. Static temperature traverse,3960,1207,Lithologic,,,,,,,,GW,Klamath,La PINE,Moffitt Butte
21S/11E-25BB,,,GP-016,Oregon Department of Geology and Mineral Industries,,,Temperature,Abandoned plugged,,Glass Buttes Area,OR,Willamette,021S,011E,25,,43.729747,-121.363564,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",115,35,,vertical,,,,,,,,,,,,,,,,,,,,,,,GPTG,Deschutes,La PINE,Paulina Peak
22S/14E-3AC,,,GP-016,Oregon Department of Geology and Mineral Industries,,,Temperature,Abandoned plugged,,Glass Buttes Area,OR,Willamette,022S,014E,3,,43.700031,-121.049169,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",250,76,,vertical,,,,,,,,,,,,,,,,,,,,,,,GPTG,Deschutes,La PINE,China Hat
3,,,GP-012,Phillips Petroleum Company,,,Temperature,Abandoned plugged,,Newberry Crater Area,OR,Willamette,020S,013E,17,,43.83824,-121.197601,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",60,18,,vertical,,,,,,,,,,,,,,,,,,,,,,,GP,Deschutes,La PINE,Fuzztail Butte
86-21,360170040,360170040,GW-179,CE Exploration,8/29/1995,10/29/1995,"GeothermalEnergy, exploration",Abandoned plugged,10/16/1999,Newberry KGRA,OR,Willamette,021S,12E,21,,43.735958,-121.289937,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",9200,2804,KB,vertical,,,6295,1919,6262,1909,30,9.625,in,530,277,"Equipment 8504, 5 hours, 1800 f/hr",9200,2804,Temperature Survey,,"Mud, LSND",150 ppm,8.9,10.5,40,10.5,GW,Deschutes,La PINE,Paulina Peak
Well RDO-1,3601790005,3601790005,GW-096,"Orvail Buckner Drilling, Inc.",9/16/1983,10/21/1983,"GeothermalEnergy,Temperature",Abandoned plugged,10/21/1983,Newberry Crater,OR,Willamette,021S,013E,31,,43.706274,-121.225283,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",1390,424,GL,vertical,,,,,6420,1957,10.75,4.5,in,316.9,158,Temperature Depth Log of the Sandia Lab well,1150,351,Temperature Depth Log,,,,,,,,GWTG,Deschutes,La PINE,East Lake
72-03,3601790006,3601790006,GW-097,"Santa Fe Geothermal, Inc. (Occidental Geothermal, Inc.)",10/4/1983,11/22/1983,"GeothermalEnergy,Temperature",Abandoned plugged,10/1/1985,Newberry Crater,OR,Willamette,021S,012E,3,,43.702596,-121.273767,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",3504,1068,GL,vertical,,,,,6400,1951,5.5,2.75,in,238,114,Sub-Surface Temperature Survey. Static temperature traverse,3504,1068,Sub-Surface Temperature Survey,,,,,,,,GW,Deschutes,La PINE,Paulina Peak
CE-NB-3,3601790009,3601790009,GW-127,"California Energy Company, Inc.",8/11/1986,10/29/1986,"GeothermalEnergy, exploration",Abandoned plugged,11/7/1988,G109,OR,Willamette,022S,013E,16,,43.669017,-121.187799,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",4348,1325,GL,vertical,,,,,6420,1957,8.625,5.5,in,192.7,89,Buckner air rotary rig,4348,1325,Sub-Surface Temperature Survey,,"Mud, air",,,,,,GW,Deschutes,La PINE,East Lake
GEO N-1,3601790013,3601790013,GW-118,Geo Operator Corp.,8/23/1985,11/1/1985,"GeothermalEnergy, exploration",Abandoned plugged,7/7/1987,Newberry Volcano,OR,Willamette,022S,012E,25,,43.638418,-121.242292,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",4550,1387,GL,vertical,,,,,5840,1780,4.5,1.5,in,208.2,98,Equipment 6406,4804,1464,Sub-Surface Temperature Survey,,Water,,,,,,GW,Deschutes,La PINE,East Lake
GEO N-2,3601790018,3601790018,GW-125,Geo Operator Corp.,8/15/1986,10/21/1986,"GeothermalEnergy, exploration",Abandoned plugged,7/7/1987,Newberry Volcano Flank,OR,Willamette,021S,012E,29,,43.726129,-121.313057,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",4387.5,1337,KB,vertical,,,5844,1781,5840,1780,4.5,,in,333,167,Equipment 68731,4387.5,1337,Temperature Gradient Core Hole Summary,,Gel,,,,40,,GW,Deschutes,La PINE,Paulina Peak
