WellID,From_m,To_m,Lithology
NWG 55-29,0.0,39.62206644,Debris Flow
NWG 55-29,39.62206644,56.69003353,Debris Flow
NWG 55-29,56.69003353,57.90917403,Debris Flow
NWG 55-29,57.90917403,73.14843036,Debris Flow
NWG 55-29,73.14843036,89.60682719,Basalt
NWG 55-29,89.60682719,97.53124048,Basalt
NWG 55-29,97.53124048,118.8661993,Basalt
NWG 55-29,118.8661993,129.5336788,Basalt
NWG 55-29,129.5336788,158.4882658,Basaltic Andesite
NWG 55-29,158.4882658,178.299299,Basaltic Andesite
NWG 55-29,178.299299,204.2060347,Basaltic Andesite
NWG 55-29,204.2060347,211.8256629,Basaltic Andesite
NWG 55-29,211.8256629,219.4452911,Dacite
NWG 55-29,219.4452911,262.1152088,Basaltic Andesite
NWG 55-29,262.1152088,269.7348369,Basaltic Andesite
NWG 55-29,269.7348369,291.0697958,Rhyodacite
NWG 55-29,291.0697958,304.7851265,Obsidian
NWG 55-29,304.7851265,324.5961597,Tuff
NWG 55-29,324.5961597,338.3114904,Tuff
NWG 55-29,338.3114904,344.4071929,Tuff
NWG 55-29,344.4071929,361.1703749,Tuff
NWG 55-29,361.1703749,384.0292594,Tuff
NWG 55-29,384.0292594,400.7924413,Basaltic Andesite
NWG 55-29,400.7924413,423.6513258,Rhyolite
NWG 55-29,423.6513258,446.5102103,Rhyolite
NWG 55-29,446.5102103,455.6537641,Rhyolite
NWG 55-29,455.6537641,466.3212435,Rhyolite
NWG 55-29,466.3212435,484.6083511,Rhyodacite
NWG 55-29,484.6083511,508.9911612,Tuff
NWG 55-29,508.9911612,525.7543432,Basalt
NWG 55-29,525.7543432,548.6132277,Andesite
NWG 55-29,548.6132277,562.3285584,Basaltic Andesite
NWG 55-29,562.3285584,579.0917403,Tuff
NWG 55-29,579.0917403,608.0463273,Andesite
NWG 55-29,608.0463273,630.9052118,Basaltic Andesite
NWG 55-29,630.9052118,640.0487656,Rhyolite
NWG 55-29,640.0487656,664.4315757,Debris Flow
NWG 55-29,664.4315757,678.1469064,Basaltic Andesite
NWG 55-29,678.1469064,696.434014,Dacite
NWG 55-29,696.434014,723.8646754,Debris Flow
NWG 55-29,723.8646754,754.3431881,Kaolinite
NWG 55-29,754.3431881,775.6781469,Debris Flow
NWG 55-29,775.6781469,787.869552,Andesite
NWG 55-29,787.869552,800.060957,Andesite
NWG 55-29,800.060957,838.1590978,Debris Flow
